"Player","Injury","Game Status","Position","Week","nameConvert","played","Team"
"Green, Ladarius","concussion","Day-to-Day","TE",1,"Ladarius Green","yes","SD"
"Jones, Landry","concussion","Out","QB",1,"Landry Jones","no","PIT"
"Suisham, Shaun","torn left ACL","Day-to-Day","K",1,"Shaun Suisham","no",NA
"Herron, Daniel","shoulder","Day-to-Day","RB",1,"Daniel Herron","no",NA
"Hilton, T.Y.","bruised knee","Day-to-Day","WR",1,"T.Y. Hilton","yes","IND"
"Turbin, Robert","ankle","Out","RB",1,"Robert Turbin","no","CLE"
"Clay, Charles","knee","Probable","TE",1,"Charles Clay","yes","BUF"
"Goodwin, Marquise","ribs","Out","WR",1,"Marquise Goodwin","no","BUF"
"Harvin, Percy","hip","Probable","WR",1,"Percy Harvin","yes","BUF"
"McCoy, LeSean","hamstring","Probable","RB",1,"LeSean McCoy","yes","BUF"
"Watkins, Sammy","hamstring","Probable","WR",1,"Sammy Watkins","no","BUF"
"Woods, Robert","hip","Probable","WR",1,"Robert Woods","yes","BUF"
"Cobb, Randall","shoulder","Probable","WR",1,"Randall Cobb","yes","GB"
"Henry, Mitchell","finger","Probable","TE",1,"Mitchell Henry","no",NA
"Nelson, Jordy","torn right ACL","Day-to-Day","WR",1,"Jordy Nelson","no",NA
"Jeffery, Alshon","calf","Questionable","WR",1,"Alshon Jeffery","yes","CHI"
"Royal, Eddie","hip","Questionable","WR",1,"Eddie Royal","yes","CHI"
"White, Kevin","leg stress fracture","Day-to-Day","WR",1,"Kevin White","no",NA
"Wilson, Marquess","hamstring","Questionable","WR",1,"Marquess Wilson","yes","CHI"
"Avant, Jason","hip","Probable","WR",1,"Jason Avant","no","KC"
"Conley, Chris","knee","Probable","WR",1,"Chris Conley","no","KC"
"Harris, Demetrius","foot","Probable","TE",1,"Demetrius Harris","no","KC"
"Kelce, Travis","ankle","Probable","TE",1,"Travis Kelce","yes","KC"
"Thomas, De'Anthony","calf","Probable","WR",1,"De'Anthony Thomas","yes","KC"
"Wilson, Albert","shoulder","Probable","WR",1,"Albert Wilson","yes","KC"
"Foster, Arian","groin","Out","RB",1,"Arian Foster","no","HOU"
"Weeden, Brandon","concussion","Probable","QB",1,"Brandon Weeden","no","DAL"
"Benjamin, Kelvin","torn left ACL","Day-to-Day","WR",1,"Kelvin Benjamin","no",NA
"Brockel, Richie","shoulder","Out","TE",1,"Richie Brockel","no",NA
"Gerhart, Toby","abdomen","Questionable","RB",1,"Toby Gerhart","no","JAX"
"Ivory, Chris","knee","Probable","RB",1,"Chris Ivory","yes","NYJ"
"Lee, Marqise","hamstring","Doubtful","WR",1,"Marqise Lee","no","JAX"
"Thomas, Julius","hand","Out","TE",1,"Julius Thomas","no","JAX"
"Walters, Bryan","hamstring","Probable","WR",1,"Bryan Walters","yes","JAX"
"Yeldon, T.J.","sprained finger left hand","Day-to-Day","RB",1,"T.J. Yeldon","yes","JAX"
"Bowe, Dwayne","hamstring","Questionable","WR",1,"Dwayne Bowe","no","CLE"
"Griffin III, Robert","concussion","Probable","QB",1,"Robert Griffin III","no",NA
"Johnson Jr., Duke","concussion","Probable","RB",1,"Duke Johnson Jr.","no",NA
"Manziel, Johnny","right elbow","Probable","QB",1,"Johnny Manziel","yes","CLE"
"McCown, Josh","concussion","Day-to-Day","QB",1,"Josh McCown","yes","CLE"
"Moore, Marlon","rib","Probable","WR",1,"Marlon Moore","no","CLE"
"Shaw, Connor","right thumb surgery","Day-to-Day","QB",1,"Connor Shaw","no",NA
"Amaro, Jace","torn labrum","Day-to-Day","TE",1,"Jace Amaro","no",NA
"Smith, Devin","ribs","Probable","WR",1,"Devin Smith","no","NYJ"
"Smith, Geno","jaw","Out","QB",1,"Geno Smith","no","NYJ"
"Helfet, Cooper","knee","Probable","TE",1,"Cooper Helfet","no","SEA"
"Jackson, Tarvaris","ankle","Probable","QB",1,"Tarvaris Jackson","no","SEA"
"Gurley, Todd","knee","Out","RB",1,"Todd Gurley","no","STL"
"Mason, Tre","thigh","Questionable","RB",1,"Tre Mason","no","STL"
"Ajayi, Jay","cracked rib","Day-to-Day","RB",1,"Jay Ajayi","no","MIA"
"James, LaMichael","shoulder","Probable","RB",1,"LaMichael James","no",NA
"Parker, DeVante","foot","Probable","WR",1,"DeVante Parker","no","MIA"
"Ballard, Vick","hamstring","Out","RB",1,"Vick Ballard","no",NA
"Hightower, Tim","knee","Probable","RB",1,"Tim Hightower","no","NO"
"Spiller, C.J.","knee","Out","RB",1,"C.J. Spiller","no","NO"
"Ellington, Andre","knee","Day-to-Day","RB",1,"Andre Ellington","yes","ARI"
"Floyd, Michael","hand","Questionable","WR",1,"Michael Floyd","yes","ARI"
"Gresham, Jermaine","hamstring","Questionable","TE",1,"Jermaine Gresham","yes","ARI"
"Momah, Ifeanyi","knee","Day-to-Day","TE",1,"Ifeanyi Momah","no",NA
"Niklas, Troy","hamstring","Questionable","TE",1,"Troy Niklas","no","ARI"
"Bell, Joique","knee","Day-to-Day","RB",1,"Joique Bell","yes","DET"
"Ebron, Eric","ankle","Probable","TE",1,"Eric Ebron","yes","DET"
"Kerley, Jeremy","concussion","Probable","WR",1,"Jeremy Kerley","no","NYJ"
"Clausen, Jimmy","head","Probable","QB",1,"Jimmy Clausen","no","CHI"
"Matthews, Chris","shoulder","Day-to-Day","WR",1,"Chris Matthews","yes","SEA"
"Perriman, Breshad","knee","Out","WR",1,"Breshad Perriman","no",NA
"Pitta, Dennis","hip","Day-to-Day","TE",1,"Dennis Pitta","no",NA
"Taliaferro, Lorenzo","knee","Out","RB",1,"Lorenzo Taliaferro","no","BAL"
"Caldwell, Andre","illness","Probable","WR",1,"Andre Caldwell","yes","DEN"
"Sanders, Emmanuel","hamstring","Day-to-Day","WR",1,"Emmanuel Sanders","yes","DEN"
"Holmes, Andre","hand","Probable","WR",1,"Andre Holmes","no","OAK"
"Walford, Clive","knee","Probable","TE",1,"Clive Walford","yes","OAK"
"Andrews, Antonio","hamstring","Questionable","RB",1,"Antonio Andrews","no","TEN"
"Cobb, David","calf","Injured Reserve (DFR)","RB",1,"David Cobb","no","TEN"
"Evans, Mike","hamstring","Questionable","WR",1,"Mike Evans","no","TB"
"Cruz, Victor","calf","Out","WR",1,"Victor Cruz","no",NA
"Bryant, Dez","hamstring","Probable","WR",1,"Dez Bryant","yes","DAL"
"Hanna, James","knee","Probable","TE",1,"James Hanna","no","DAL"
"Romo, Tony","back","Probable","QB",1,"Tony Romo","yes","DAL"
"Street, Devin","ankle","Probable","WR",1,"Devin Street","no","DAL"
"Ertz, Zach","groin","Questionable","TE",1,"Zach Ertz","yes","PHI"
"Coleman, Tevin","hamstring","Day-to-Day","RB",1,"Tevin Coleman","yes","ATL"
